cash,date,equity,future_expiry,future_mark,future_qty,margin_headroom,margin_required,option_expiry,option_mark,option_qty,option_strike,option_type,recovery_basis,spot
29158279.366755076,2021-12-10,29095719.366755076,,0,0,853279.3667550758,28305000.0,2021-12-30,36.8,1700,16650.0,put,0.0,17511.3
29165800.351512372,2021-12-13,29090830.351512372,,0,0,860800.3515123725,28305000.0,2021-12-30,44.1,1700,16650.0,put,0.0,17368.25
29173323.276206214,2021-12-14,29084838.276206214,,0,0,868323.276206214,28305000.0,2021-12-30,52.05,1700,16650.0,put,0.0,17324.9
29180848.14133698,2021-12-15,29074853.14133698,,0,0,875848.1413369812,28305000.0,2021-12-30,62.35,1700,16650.0,put,0.0,17221.4
29188374.94740518,2021-12-16,29121904.94740518,,0,0,883374.9474051818,28305000.0,2021-12-30,39.1,1700,16650.0,put,0.0,17248.4
29195903.694911458,2021-12-17,29057863.694911458,,0,0,890903.6949114576,28305000.0,2021-12-30,81.2,1700,16650.0,put,0.0,16985.2
29203434.384356573,2021-12-20,28843204.384356573,,0,0,898434.3843565732,28305000.0,2021-12-30,211.9,1700,16650.0,put,0.0,16614.2
29210967.016241428,2021-12-21,29003142.016241428,,0,0,905967.0162414275,28305000.0,2021-12-30,122.25,1700,16650.0,put,0.0,16770.85
29218501.591067046,2021-12-22,29116841.591067046,,0,0,913501.5910670459,28305000.0,2021-12-30,59.8,1700,16650.0,put,0.0,16955.45
29226038.109334584,2021-12-23,29170023.109334584,,0,0,921038.1093345843,28305000.0,2021-12-30,32.95,1700,16650.0,put,0.0,17072.6
29233576.571545325,2021-12-24,29167276.571545325,,0,0,928576.5715453252,28305000.0,2021-12-30,39.0,1700,16650.0,put,0.0,17003.75
29241116.978200685,2021-12-27,29208561.978200685,,0,0,936116.9782006852,28305000.0,2021-12-30,19.15,1700,16650.0,put,0.0,17086.25
29248659.329802204,2021-12-28,29238544.329802204,,0,0,943659.3298022039,28305000.0,2021-12-30,5.95,1700,16650.0,put,0.0,17233.25
29256203.62685156,2021-12-29,29251783.62685156,,0,0,951203.6268515587,28305000.0,2021-12-30,2.6,1700,16650.0,put,0.0,17213.6
29263749.86985055,2021-12-30,29263749.86985055,,0,0,29263749.86985055,0.0,,0,0,,,0.0,17203.95
29354398.703538727,2021-12-31,29271011.203538727,,0,0,741898.703538727,28612500.0,2022-01-27,47.65,1750,16350.0,put,0.0,17354.05
29361970.274632894,2022-01-03,29313407.774632894,,0,0,749470.2746328935,28612500.0,2022-01-27,27.75,1750,16350.0,put,0.0,17625.7
29369543.79871167,2022-01-04,29333318.79871167,,0,0,757043.7987116687,28612500.0,2022-01-27,20.7,1750,16350.0,put,0.0,17805.25
29377119.276278798,2022-01-05,29335819.276278798,,0,0,764619.2762787975,28612500.0,2022-01-27,23.6,1750,16350.0,put,0.0,17925.25
29384696.707838155,2022-01-06,29341909.207838155,,0,0,772196.7078381553,28612500.0,2022-01-27,24.45,1750,16350.0,put,0.0,17745.9
29392276.093893748,2022-01-07,29359551.093893748,,0,0,779776.0938937478,28612500.0,2022-01-27,18.7,1750,16350.0,put,0.0,17812.7
29399857.43494971,2022-01-10,29380607.43494971,,0,0,787357.434949711,28612500.0,2022-01-27,11.0,1750,16350.0,put,0.0,18003.3
29407440.73151031,2022-01-11,29389328.23151031,,0,0,794940.7315103114,28612500.0,2022-01-27,10.35,1750,16350.0,put,0.0,18055.75
29415025.984079946,2022-01-12,29402163.484079946,,0,0,802525.9840799458,28612500.0,2022-01-27,7.35,1750,16350.0,put,0.0,18212.35
29422613.19316314,2022-01-13,29411238.19316314,,0,0,810113.1931631416,28612500.0,2022-01-27,6.5,1750,16350.0,put,0.0,18257.8
29430202.359264553,2022-01-14,29421364.859264553,,0,0,817702.3592645526,28612500.0,2022-01-27,5.05,1750,16350.0,put,0.0,18255.75
29437793.482888967,2022-01-17,29431668.482888967,,0,0,825293.4828889668,28612500.0,2022-01-27,3.5,1750,16350.0,put,0.0,18308.1
29445386.5645413,2022-01-18,29438299.0645413,,0,0,832886.5645412989,28612500.0,2022-01-27,4.05,1750,16350.0,put,0.0,18113.05
29452981.604726598,2022-01-19,29445981.604726598,,0,0,840481.6047265977,28612500.0,2022-01-27,4.0,1750,16350.0,put,0.0,17938.4
29460578.60395004,2022-01-20,29455241.10395004,,0,0,848078.6039500386,28612500.0,2022-01-27,3.05,1750,16350.0,put,0.0,17757.0
29468177.56271693,2022-01-21,29463540.06271693,,0,0,855677.5627169311,28612500.0,2022-01-27,2.65,1750,16350.0,put,0.0,17617.15
29475778.48153271,2022-01-24,29455390.98153271,,0,0,863278.4815327115,28612500.0,2022-01-27,11.65,1750,16350.0,put,0.0,17149.1
29483381.360902946,2022-01-25,29478131.360902946,,0,0,870881.3609029464,28612500.0,2022-01-27,3.0,1750,16350.0,put,0.0,17277.95
29490986.201333337,2022-01-27,29490986.201333337,,0,0,29490986.201333337,0.0,,0,0,,,0.0,17110.15
29700340.4001897,2022-01-28,29497930.4001897,,0,0,450340.40018970147,29250000.0,2022-02-24,112.45,1800,16250.0,put,0.0,17101.95
29708001.202277053,2022-01-31,29575431.202277053,,0,0,458001.20227705315,29250000.0,2022-02-24,73.65,1800,16250.0,put,0.0,17339.85
29715663.98036494,2022-02-01,29654193.98036494,,0,0,465663.98036494106,29250000.0,2022-02-24,34.15,1800,16250.0,put,0.0,17576.85
29723328.734963052,2022-02-02,29695248.734963052,,0,0,473328.734963052,29250000.0,2022-02-24,15.6,1800,16250.0,put,0.0,17780.0
29730995.466581196,2022-02-03,29679965.466581196,,0,0,480995.4665811956,29250000.0,2022-02-24,28.35,1800,16250.0,put,0.0,17560.2
29738664.175729323,2022-02-04,29693214.175729323,,0,0,488664.1757293232,29250000.0,2022-02-24,25.25,1800,16250.0,put,0.0,17516.3
29746334.86291751,2022-02-07,29660114.86291751,,0,0,496334.86291750893,29250000.0,2022-02-24,47.9,1800,16250.0,put,0.0,17213.6
29754007.52865596,2022-02-08,29693797.52865596,,0,0,504007.52865596116,29250000.0,2022-02-24,33.45,1800,16250.0,put,0.0,17266.75
29761682.17345502,2022-02-09,29737022.17345502,,0,0,511682.17345501855,29250000.0,2022-02-24,13.7,1800,16250.0,put,0.0,17463.8
29769358.797825154,2022-02-10,29752528.797825154,,0,0,519358.7978251539,29250000.0,2022-02-24,9.35,1800,16250.0,put,0.0,17605.85
29777037.402276974,2022-02-11,29742477.402276974,,0,0,527037.4022769742,29250000.0,2022-02-24,19.2,1800,16250.0,put,0.0,17374.75
29784717.987321213,2022-02-14,29615967.987321213,,0,0,534717.9873212129,29250000.0,2022-02-24,93.75,1800,16250.0,put,0.0,16842.8
29792400.553468738,2022-02-15,29753610.553468738,,0,0,542400.5534687378,29250000.0,2022-02-24,21.55,1800,16250.0,put,0.0,17352.45
29800085.101230547,2022-02-16,29763725.101230547,,0,0,550085.1012305468,29250000.0,2022-02-24,20.2,1800,16250.0,put,0.0,17322.2
29807771.63111777,2022-02-17,29760971.63111777,,0,0,557771.6311177686,29250000.0,2022-02-24,26.0,1800,16250.0,put,0.0,17304.6
29815460.14364167,2022-02-18,29780270.14364167,,0,0,565460.1436416693,29250000.0,2022-02-24,19.55,1800,16250.0,put,0.0,17276.3
29823150.639313642,2022-02-21,29806770.639313642,,0,0,573150.6393136419,29250000.0,2022-02-24,9.1,1800,16250.0,put,0.0,17206.65
29830843.11864521,2022-02-22,29810683.11864521,,0,0,580843.1186452098,29250000.0,2022-02-24,11.2,1800,16250.0,put,0.0,17092.2
29838537.582148034,2022-02-23,29835837.582148034,,0,0,588537.5821480341,29250000.0,2022-02-24,1.5,1800,16250.0,put,0.0,17063.25
29842543.078548193,2022-02-24,29842543.078548193,,0,0,29842543.078548193,0.0,,0,0,,,0.0,16247.95
29842977.280337505,2022-02-25,29842977.280337505,2022-03-31,16656.05,1800,25345843.780337505,4497133.5,,0,0,,,16545.649999999998,16658.4
30436089.395002633,2022-02-28,30098409.395002633,2022-03-31,16794.25,1800,24136089.395002633,6300000.0,2022-03-31,187.6,1800,17500.0,call,16545.649999999998,16793.9
30118416.030759282,2022-03-02,29853276.030759282,2022-03-31,16613.45,1800,23818416.030759282,6300000.0,2022-03-31,147.3,1800,17500.0,call,16545.649999999998,16605.95
29932004.596600547,2022-03-03,29742014.596600547,2022-03-31,16505.6,1800,23632004.596600547,6300000.0,2022-03-31,105.55,1800,17500.0,call,16545.649999999998,16498.05
