date,nifty_tr,synthetic_nifty_wheel
2022-06-07,27742101.898422103,26849734.87766822
2022-06-08,27640586.003370214,26784054.87766822
2022-06-09,27850589.846187856,26946614.877668224
2022-06-10,27383544.20088402,26600134.877668224
2022-06-13,26661223.162422504,25911734.877668224
2022-06-14,26589689.433655243,25872294.877668224
2022-06-15,26544640.14674065,25828214.877668224
2022-06-16,25983740.84552516,25259894.877668224
2022-06-17,25870257.819724474,25215734.877668224
2022-06-20,25968685.42297022,25262934.877668224
2022-06-21,26456974.772516306,25727894.877668224
2022-06-22,26075547.338307742,25352934.877668224
2022-06-23,26317989.9431649,25626134.877668224
2022-06-24,26559251.042444706,25849574.87766822
2022-06-27,26783935.96941655,26047094.87766822
2022-06-28,26814608.322127555,26066934.877668224
2022-06-29,26728171.245780647,25958934.877668224
2022-06-30,26705453.58408547,25946131.038013183
2022-07-01,26657783.928365666,25961595.932573184
2022-07-04,26805203.069808844,26095275.932573184
2022-07-05,26763698.299626302,26022955.93257318
2022-07-06,27066655.046578806,26322075.932573184
2022-07-07,27309869.7243875,26545435.932573184
2022-07-08,27459605.08468529,26666235.932573184
2022-07-11,27453206.23764756,26660795.932573184
2022-07-12,27186209.37331657,26457515.932573184
2022-07-13,27031291.765783478,26374475.932573184
2022-07-14,26992746.608581822,26317995.932573184
2022-07-15,27179915.808954056,26529195.932573184
2022-07-18,27568291.89972644,26854955.932573184
2022-07-19,27677470.033918567,26927035.932573184
2022-07-20,27982824.88625084,27123515.93257318
2022-07-21,28143427.758245237,27196955.932573184
2022-07-22,28336902.221055012,27294635.93257318
2022-07-25,28187049.88000699,27273355.93257318
2022-07-26,27937646.92051099,27176315.93257318
2022-07-27,28209217.73217608,27328715.93257318
2022-07-28,28696992.36642114,27409026.075846143
2022-07-29,29084572.988091942,27408754.94377614
2022-08-01,29395589.708735477,27428644.94377614
2022-08-02,29406410.428131998,27419464.94377614
2022-08-03,29481933.200482193,27428729.94377614
2022-08-04,29471440.027186323,27425839.94377614
2022-08-05,29497784.092138715,27438164.94377614
2022-08-08,29728610.50849777,27452274.94377614
2022-08-10,29750450.814566202,27458054.94377614
2022-08-11,29971708.205556232,27468424.94377614
2022-08-12,30039287.984965634,27471824.94377614
2022-08-16,30255012.186469655,27474714.94377614
2022-08-17,30456956.05559627,27475054.94377614
2022-08-18,30493781.595769506,27478029.94377614
2022-08-19,30163954.37048856,27478284.94377614
2022-08-22,29709098.119358964,27478964.94377614
2022-08-23,29856552.355027214,27478964.94377614
2022-08-24,29903215.976295013,27479899.94377614
