ticker,expiry,lot_size,method
INDUSINDBK,2020-02-27,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-03-26,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-04-30,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-05-28,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-06-25,400,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-07-30,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-08-27,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-09-24,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-10-29,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-11-26,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2020-12-31,800,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-01-28,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-02-25,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-03-25,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-04-29,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-05-27,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-06-24,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-07-29,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-08-26,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-09-30,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
